date,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_deaths,new_confirmed,new_deaths
2020-02-25,45919049,0.00216,0,1,0
2020-02-26,45919049,0.00216,0,0,0
2020-02-27,45919049,0.00216,0,0,0
2020-02-28,45919049,0.00432,0,1,0
2020-02-29,45919049,0.00432,0,0,0
2020-03-01,45919049,0.00432,0,0,0
2020-03-02,45919049,0.00432,0,0,0
2020-03-03,45919049,0.00432,0,0,0
2020-03-04,45919049,0.00648,0,1,0
2020-03-05,67202642,0.04333,0,5,0
2020-03-06,82075706,0.06443,0,6,0
2020-03-07,85090974,0.11034,0,5,0
2020-03-08,109597122,0.15711999999999998,0,6,0
2020-03-09,109597122,0.15711999999999998,0,0,0
2020-03-10,120974361,0.17235,0,4,0
2020-03-11,120974361,0.24429000000000003,0,14,0
2020-03-12,163673511,NA,0,46,0
2020-03-13,167818108,NA,0,7,0
2020-03-14,172895790,NA,0,40,0
2020-03-15,172895790,NA,0,19,0
2020-03-16,182027868,NA,0,125,0
2020-03-17,182909803,NA,1,47,1
2020-03-18,193085534,4.63699,3,187,2
2020-03-19,196358761,5.996069999999999,7,128,4
2020-03-20,209541364,9.912639999999998,11,288,4
2020-03-21,210147125,13.443669999999996,18,202,7
2020-03-22,210147125,16.63881,25,462,7
2020-03-23,210147125,20.454479999999997,34,358,9
2020-03-24,210147125,25.298129999999997,47,303,13
2020-03-25,210147125,28.96068,59,310,12
2020-03-26,210147125,32.437900000000006,77,422,18
2020-03-27,210147125,37.75525,93,489,16
2020-03-28,210147125,43.430800000000005,115,477,22
2020-03-29,210147125,49.377159999999996,139,355,24
2020-03-30,210147125,54.20517,166,352,27
2020-03-31,210147125,60.86297000000001,202,1164,36
2020-04-01,210147125,69.89961,244,1107,42
2020-04-02,210147125,79.61157,305,1167,61
2020-04-03,210147125,90.95955000000001,365,1114,60
2020-04-04,210147125,103.62181999999999,445,1169,80
2020-04-05,210147125,115.59375999999999,496,1040,51
2020-04-06,210147125,125.76569,569,840,73
2020-04-07,210147125,142.44760000000002,691,1821,122
2020-04-08,210147125,166.84066,826,2173,135
2020-04-09,210147125,184.69277999999997,959,1921,133
2020-04-10,210147125,207.48362000000003,1073,1761,114
2020-04-11,210147125,223.18938000000003,1141,1054,68
2020-04-12,210147125,245.14094999999998,1237,1465,96
2020-04-13,210147125,267.30459,1350,1401,113
2020-04-14,210147125,297.58378,1557,1918,207
2020-04-15,210147125,329.71702,1760,3243,203
2020-04-16,210147125,362.19021999999995,1962,2083,202
2020-04-17,210147125,398.89007000000004,2173,3296,211
2020-04-18,210147125,432.81529000000006,2375,2778,202
2020-04-19,210147125,464.89478000000014,2491,1930,116
2020-04-20,210147125,489.5649000000001,2598,1816,107
2020-04-21,210147125,527.9918499999999,2772,2723,174
2020-04-22,210147125,566.2377,2940,2779,168
2020-04-23,210147125,619.6530200000001,3349,3873,409
2020-04-24,210147125,683.1288100000002,3722,3913,373
2020-04-25,210147125,746.0968599999999,4074,5297,352
2020-04-26,210147125,807.83932,4301,3715,227
2020-04-27,210147125,858.89964,4606,4145,305
2020-04-28,210147125,936.5210499999997,5092,6234,486
2020-04-29,210147125,1020.4135900000001,5534,6114,442
2020-04-30,210147125,1129.61778,5980,7412,446
2020-05-01,210147125,1208.3801400000002,6438,5456,458
2020-05-02,210147125,1313.1534799999997,6810,4997,372
2020-05-03,210147125,1395.0639299999998,7073,4237,263
2020-05-04,210147125,1528.7883900000002,7381,6961,308
2020-05-05,210147125,1696.3482300000003,7972,7635,591
2020-05-06,210147125,1847.6166799999996,8597,10545,625
2020-05-07,210147125,2013.9312199999997,9273,9732,676
2020-05-08,210147125,2190.2035400000004,10027,10404,754
2020-05-09,210147125,2357.53168,10695,10155,668
2020-05-10,210147125,2482.633799999999,11172,6261,477
2020-05-11,210147125,2575.982809999999,11659,6224,487
2020-05-12,210147125,2777.43872,12503,9612,844
2020-05-13,210147125,2959.10232,13281,11693,778
2020-05-14,210147125,3208.9509500000004,14070,14134,789
2020-05-15,210147125,3440.0932700000003,14983,15447,913
2020-05-16,210147125,3677.1682100000003,15702,14059,719
2020-05-17,210147125,3829.978719999999,16201,7664,499
2020-05-18,210147125,4064.95233,16925,14559,724
2020-05-19,210147125,4378.027119999998,18073,17490,1148
2020-05-20,210147125,4692.363409999999,19058,20153,985
2020-05-21,210147125,5023.246479999999,20109,17898,1051
2020-05-22,210147125,5447.994120000001,21148,22115,1039
2020-05-23,210147125,5796.35017,22196,17004,1048
2020-05-24,210147125,6053.5460299999995,22863,14471,667
2020-05-25,210147125,6308.445009999999,23590,12807,727
2020-05-26,210147125,6644.4455800000005,24642,16327,1052
2020-05-27,210147125,7102.948579999999,25705,20200,1063
2020-05-28,210147125,7583.604409999997,26895,28337,1190
2020-05-29,210147125,8040.65984,28032,26890,1137
2020-05-30,210147125,8576.487549999998,28895,32320,863
2020-05-31,210147125,8851.614459999999,29367,13181,472
2020-06-01,210147125,9141.941410000003,30105,14962,738
2020-06-02,210147125,9681.485300000002,31473,31907,1368
2020-06-03,210147125,10116.20725,32667,26085,1194
2020-06-04,210147125,10769.383179999999,34152,31952,1485
2020-06-05,210147125,11371.87268,35253,32103,1101
2020-06-06,210147125,11848.376520000002,36054,23790,801
2020-06-07,210147125,12229.296600000001,36530,17987,476
2020-06-08,210147125,12604.863920000002,37393,17337,863
2020-06-09,210147125,13187.3496,38586,31700,1193
2020-06-10,210147125,13854.252919999999,39824,33790,1238
2020-06-11,210147125,14382.516740000003,41092,28686,1268
2020-06-12,210147125,14837.962549999997,41935,24288,843
2020-06-13,210147125,15257.955389999994,42792,21098,857
2020-06-14,210147125,15552.77435,43426,16925,634
2020-06-15,210147125,16018.188589999998,44190,24581,764
2020-06-16,210147125,16732.021960000002,45522,37019,1332
2020-06-17,210147125,17370.339289999996,46707,30925,1185
2020-06-18,210147125,17942.43365,47946,25120,1239
2020-06-19,210147125,18778.186809999996,49118,56112,1172
2020-06-20,210147125,19426.66046,50100,28876,982
2020-06-21,210147125,19741.69824,50709,16570,609
2020-06-22,210147125,20799.8389,51444,26509,735
2020-06-23,210147125,21634.17324,52851,39566,1407
2020-06-24,210147125,22444.41862,53955,41042,1104
2020-06-25,210147125,23259.685019999997,55135,41722,1180
2020-06-26,210147125,23956.512180000005,56128,44885,993
2020-06-27,210147125,24670.196529999994,57159,36920,1031
2020-06-28,210147125,25248.663519999995,57742,32850,583
2020-06-29,210147125,25702.272119999998,58473,21582,731
2020-06-30,210147125,26474.542329999993,59791,39681,1318
2020-07-01,210147125,27572.162629999995,60877,46825,1086
2020-07-02,210147125,28271.69832,62136,44401,1259
2020-07-03,210147125,29022.282629999998,63349,42854,1213
2020-07-04,210147125,29649.432819999995,64410,33297,1061
2020-07-05,210147125,30022.05044,64965,25648,555
2020-07-06,210147125,30504.537999999997,65651,24458,686
2020-07-07,210147125,31291.462929999998,66952,46694,1301
2020-07-08,210147125,32100.3915,68126,45252,1174
2020-07-09,210147125,32947.91287,69347,42962,1221
2020-07-10,210147125,33738.51381,70646,44311,1299
2020-07-11,210147125,34326.411250000005,71578,34947,932
2020-07-12,210147125,34777.06468,72195,23658,617
2020-07-13,210147125,35246.01943,73030,22893,835
2020-07-14,210147125,35976.796709999995,74324,42922,1294
2020-07-15,210147125,36743.812419999995,75602,40142,1278
2020-07-16,210147125,37542.15138000001,76902,43683,1300
2020-07-17,210147125,38181.87436000001,78026,34618,1124
2020-07-18,210147125,38634.03410000001,78870,25726,844
2020-07-19,210147125,39059.272950000006,79578,23439,708
2020-07-20,210147125,39587.90888,80346,22753,768
2020-07-21,210147125,40510.33308,81663,46932,1317
2020-07-22,210147125,41589.958029999994,82959,66150,1296
2020-07-23,210147125,42564.683370000006,84272,57326,1313
2020-07-24,210147125,43493.87657,85437,56903,1165
2020-07-25,210147125,44180.315429999995,86536,47535,1099
2020-07-26,210147125,44525.60635000001,87117,21046,581
2020-07-27,210147125,45145.66426,87802,29638,685
2020-07-28,210147125,46090.35813,89037,54004,1235
2020-07-29,210147125,46972.514259999996,90259,55451,1222
2020-07-30,210147125,47875.36471,91461,58055,1202
2020-07-31,210147125,48712.73288999999,92727,53264,1266
2020-08-01,210147125,49386.54589999999,93668,41541,941
2020-08-02,210147125,49756.08352,94193,24066,525
2020-08-03,210147125,50222.056489999995,94794,20106,601
2020-08-04,210147125,51206.412209999995,96152,56282,1358
2020-08-05,210147125,52159.53843,97519,56138,1367
2020-08-06,210147125,53083.700249999994,98744,54020,1225
2020-08-07,210147125,53842.71614999999,99830,48966,1086
2020-08-08,210147125,54486.88044,100648,46827,818
2020-08-09,210147125,54823.75303,101226,22730,578
2020-08-10,210147125,55436.547210000004,102009,24946,783
2020-08-11,210147125,56269.85915000001,103209,50929,1200
2020-08-12,210147125,57103.92381,104361,56105,1152
2020-08-13,210147125,57977.105449999995,105635,60713,1274
2020-08-14,210147125,58759.966880000014,106642,49279,1007
2020-08-15,210147125,59257.53756,107364,37009,722
2020-08-16,210147125,59628.40663,107951,22852,587
2020-08-17,210147125,60200.64272,108747,24551,796
2020-08-18,210147125,60992.3684,110099,49264,1352
2020-08-19,210147125,61778.29996,111263,48603,1164
2020-08-20,210147125,62438.447400000005,112499,42974,1236
2020-08-21,210147125,63024.85611000001,113551,32326,1052
2020-08-22,210147125,63612.454069999985,114378,45908,827
2020-08-23,210147125,63947.481719999996,114834,21869,456
2020-08-24,210147125,64460.446429999996,115551,23517,717
2020-08-25,210147125,65232.89955000001,116760,46307,1209
2020-08-26,210147125,65989.75316,117839,48152,1079
2020-08-27,210147125,66672.32949,118824,42260,985
2020-08-28,210147125,67349.40385,119673,44088,849
2020-08-29,210147125,67869.98521999999,120570,37291,897
2020-08-30,210147125,68099.54813999998,120971,14534,401
2020-08-31,210147125,68959.51895999999,121618,50225,647
2020-09-01,210147125,69636.22883,122768,44329,1150
2020-09-02,210147125,70310.60379000002,123972,46453,1204
2020-09-03,210147125,70995.70394,124839,46809,867
2020-09-04,210147125,71641.40026000001,125688,39262,849
2020-09-05,210147125,72101.96643999999,126292,34134,604
2020-09-06,210147125,72330.36048,126736,14339,444
2020-09-07,210147125,72516.56708,127070,9849,334
2020-09-08,210147125,72902.83611999999,127584,18661,514
2020-09-09,210147125,73550.16912,128752,37162,1168
2020-09-10,210147125,74199.01453999999,129726,40711,974
2020-09-11,210147125,74768.87748,130574,41633,848
2020-09-12,210147125,75169.84590999999,131341,30800,767
2020-09-13,210147125,75381.01917,131746,14020,405
2020-09-14,210147125,75814.00836,132204,20611,458
2020-09-15,210147125,76343.62295,133286,34552,1082
2020-09-16,210147125,76883.85896,134248,37297,962
2020-09-17,210147125,77462.49051,135117,36405,869
2020-09-18,210147125,78069.38526,135945,39731,828
2020-09-19,210147125,78470.86644999999,136626,29558,681
2020-09-20,210147125,78679.49527,136977,15442,351
2020-09-21,210147125,79067.25576000001,137443,17635,466
2020-09-22,210147125,79605.76547999997,138237,34967,794
2020-09-23,210147125,80141.14008,139169,32726,932
2020-09-24,210147125,80631.85722,139964,32014,795
2020-09-25,210147125,81102.31212999999,140786,32311,822
2020-09-26,210147125,81442.77992000002,141508,24717,722
2020-09-27,210147125,81646.29115,141845,13778,337
2020-09-28,210147125,81972.13007,142238,16881,393
2020-09-29,210147125,82518.555,143096,32848,858
2020-09-30,210147125,83033.58429,143964,32901,868
2020-10-01,210147125,83566.90635,144851,35755,887
2020-10-02,210147125,84042.97425999997,145504,32846,653
2020-10-03,210147125,84313.17051000001,146093,23008,589
2020-10-04,210147125,84455.88768000001,146451,8715,358
2020-10-05,210147125,84838.18878,146844,26053,393
2020-10-06,210147125,85304.62602,147654,31526,810
2020-10-07,210147125,85741.57337000001,148379,30938,725
2020-10-08,210147125,86134.39634,149114,26830,735
2020-10-09,210147125,86556.70161999998,149768,27733,654
2020-10-10,210147125,86843.50495,150302,23744,534
2020-10-11,210147125,87014.73944,150580,12191,278
2020-10-12,210147125,87148.33592,150774,8636,194
2020-10-13,210147125,87467.07994999997,151152,13356,378
2020-10-14,210147125,87935.80575,151884,27847,732
2020-10-15,210147125,88439.54430000001,152698,30426,814
2020-10-16,210147125,88858.3512,153341,28596,643
2020-10-17,210147125,89135.93511,153756,20776,415
2020-10-18,210147125,89346.61346999998,153991,12051,235
2020-10-19,210147125,89683.90204000002,154317,16579,326
2020-10-20,210147125,90053.88898,154965,23766,648
2020-10-21,210147125,90476.5726,155535,25843,570
2020-10-22,210147125,90902.63864000003,156041,24777,506
2020-10-23,210147125,91349.85601,156604,30001,563
2020-10-24,210147125,91683.83537000002,156991,24982,387
2020-10-25,210147125,91859.56000000001,157192,11697,201
2020-10-26,210147125,92176.70619000001,157526,19170,334
2020-10-27,210147125,92642.74964000001,158052,29982,526
2020-10-28,210147125,93056.86135000002,158556,28351,504
2020-10-29,210147125,93485.09388,159107,26700,551
2020-10-30,210147125,93823.13885,159680,24353,573
2020-10-31,210147125,94048.98284,159972,13170,292
2020-11-01,210147125,94243.57466000001,160175,10188,203
2020-11-02,210147125,94396.44522999997,160339,8249,164
2020-11-03,210147125,94674.22396,160628,13268,289
2020-11-04,210147125,95086.86333,161246,24630,618
2020-11-05,210147125,95477.44026,161849,23845,603
2020-11-06,210147125,95839.46303999999,162120,20196,271
2020-11-07,210147125,96130.09714,162348,17748,228
2020-11-08,210147125,96338.23054000003,162538,10502,190
2020-11-09,210147125,96615.01757,162724,13414,186
2020-11-10,210147125,97110.46332000001,162922,46424,198
2020-11-11,210147125,97539.03727000003,163496,26244,574
2020-11-12,210147125,98090.97283,164429,33922,933
2020-11-13,210147125,98617.59257,165005,38718,576
2020-11-14,210147125,99007.80858999999,165739,26278,734
2020-11-15,210147125,99229.85277000001,165879,13906,140
2020-11-16,210147125,99559.52576,166135,15744,256
2020-11-17,210147125,100047.35173,166814,35490,679
2020-11-18,210147125,100543.30050999999,167568,34752,754
2020-11-19,210147125,101070.01477,168218,35862,650
2020-11-20,210147125,101605.35241,168731,38770,513
2020-11-21,210147125,102010.10244,169088,30222,357
2020-11-22,210147125,102312.75865999999,169266,17926,178
2020-11-23,210147125,102689.5029,169621,18158,355
2020-11-24,210147125,103275.29701,170248,34533,627
2020-11-25,210147125,103852.03606999999,170870,44611,622
2020-11-26,210147125,104517.61211999998,171581,40902,711
2020-11-27,210147125,105077.37531,172140,33508,559
2020-11-28,210147125,105855.93787999998,172684,51485,544
2020-11-29,210147125,106189.59004000001,172917,21012,233
2020-11-30,210147125,106636.14709999999,173268,23695,351
2020-12-01,210147125,107369.04821,173953,51985,685
2020-12-02,210147125,108052.59702999999,174630,48475,677
2020-12-03,210147125,108733.50242,175393,50139,763
2020-12-04,210147125,109424.32079999999,176070,47671,677
2020-12-05,210147125,109917.32694000003,176718,40282,648
2020-12-06,210147125,110365.15256000002,177057,26430,339
2020-12-07,210147125,110882.14388000002,177482,27024,425
2020-12-08,210147125,111556.49191000003,178280,47796,798
2020-12-09,210147125,112330.03395999997,179132,54591,852
2020-12-10,210147125,113083.87498,179902,53550,770
2020-12-11,210147125,113820.67477999997,180562,52549,660
2020-12-12,210147125,114352.27806000001,181241,42325,679
2020-12-13,210147125,114713.20019999999,181536,22029,295
2020-12-14,210147125,115196.42961,182049,27380,513
2020-12-15,210147125,115933.02603000002,182983,48032,934
2020-12-16,210147125,116906.74538000001,183924,66124,941
2020-12-17,210147125,117685.89933999999,184985,68699,1061
2020-12-18,210147125,118371.40840999999,185802,52853,817
2020-12-19,210147125,119013.26748,186461,48242,659
2020-12-20,210147125,119422.41481999999,186879,24484,418
2020-12-21,210147125,119927.05781,187441,27645,562
2020-12-22,210147125,120720.71026,188410,56665,969
2020-12-23,210147125,121348.32358000001,189375,45679,965
2020-12-24,210147125,122058.93221000004,190135,58211,760
2020-12-25,210147125,122346.31093999998,190617,21183,482
2020-12-26,210147125,122632.88861999998,190913,17533,296
2020-12-27,210147125,122952.78788,191250,17614,337
2020-12-28,210147125,123553.50534,191788,27437,538
2020-12-29,210147125,124290.60542,192839,56371,1051
2020-12-30,210147125,125046.77436,194056,55600,1217
2020-12-31,210147125,125723.81475000002,195072,54469,1016
2021-01-01,210147125,126064.44505000001,195541,22939,469
2021-01-02,210147125,126343.38092000001,195834,15353,293
2021-01-03,210147125,126649.15424999999,196145,17190,311
2021-01-04,210147125,127121.82340000002,196741,25039,596
2021-01-05,210147125,127904.37062000002,197930,58083,1189
2021-01-06,210147125,128699.87092999999,199161,60707,1231
2021-01-07,210147125,129744.44039999998,200678,89769,1517
2021-01-08,210147125,130586.63881,201760,59586,1082
2021-01-09,210147125,131198.57254000005,202769,51393,1009
2021-01-10,210147125,131653.8183,203259,29027,490
2021-01-11,210147125,132307.34843999997,203749,30747,490
2021-01-12,210147125,133117.83342,204875,62007,1126
2021-01-13,210147125,133952.5379,206139,62244,1264
2021-01-14,210147125,134896.01867,207293,68329,1154
2021-01-15,210147125,135838.50223,208428,69097,1135
2021-01-16,210147125,136576.76697,209442,58445,1014
2021-01-17,210147125,137036.55983,209993,31416,551
2021-01-18,210147125,137597.4452,210469,28933,476
2021-01-19,210147125,138441.15208,211629,62149,1160
2021-01-20,210147125,139304.13401,213024,64477,1395
2021-01-21,210147125,140101.06958,214371,58950,1347
2021-01-22,210147125,141002.31351,215442,56605,1071
2021-01-23,210147125,141677.75522999995,216587,58298,1145
2021-01-24,210147125,142133.11997999996,217182,28519,595
2021-01-25,210147125,142736.33817,217872,30530,690
2021-01-26,210147125,143577.03216000003,219027,61608,1155
2021-01-27,210147125,144462.74245999998,220363,64772,1336
2021-01-28,210147125,145295.47454000002,221801,60760,1438
2021-01-29,210147125,146162.26371,222888,59503,1087
2021-01-30,210147125,146827.89766,224079,53114,1191
2021-01-31,210147125,147270.77966999996,224646,27900,567
